id	tweet	subtask_a
10006	draw carry piece canadian	NOT
10008	corrupt liberal government steal person liberal work	OFF
10009	attend governor abbott meeting solve gun problem school gues excellent discussion use gun protect amp defend what point stand gun control amp90 real texan gun take away	OFF
10023	cant wait	NOT
10032	bitch saw whole as tweet wednesday bitch alway talk shit backpedal lmao admit	OFF
10035	omg sorry would worth love austin dell let forget new baby guy good person keep best keep inspire ace family member love guy	NOT
10036	chri stir ing pot political dig texa thing handle totally different situation help	NOT
10038	absolutely false know cp24i liberal remember doug ford try save taxpayer money	NOT
10039	childish unprofessional	OFF
10054	traitor whoever	OFF
10057	team even know as	OFF
10085	conversely apparent dont care kid unles shoot school amp use promote gun control funny hate much use kill far les person criminal arm leg start call everyone dismember	OFF
10087	gorgeou tit killer	OFF
10088	surprise know liberal sacrifice child altar virtue signal	NOT
10092	big thank stupid celebrity event like serve help republican election maga url	OFF
10094	nightclub partier slaughter oregon carbine nra call gun control research unethical	NOT
10106	still cover bet anonymou writer opedinnytimesonsept5th nytime adminstrator potu cud say since refuse name writer stir crap within trump camp maga	OFF
10114	bono ono house	NOT
10117	maga cap url	NOT
10133	look happy maga	OFF
10142	job gues lapdog bigwig broadcast	OFF
10144	agree still conservative heart mayhate45 still conservative ideal	NOT
10161	jeff think follow mccain footstep good idea know traitor walk away demon rat resistance party liberal evilnes confirm kavanaugh	OFF
10164	think talk illegal immigrant drug society mostly liberal person fund drug importation country	NOT
10172	ask dana worry home south carolina close coast currently inn carolina time visit get welcome hurricane lordy day	NOT
10173	embarrassment whole bravo view audience need curb quickly man worth dignity	NOT
10176	democrat party throw panic want violence trump america quite successful suggest little antifa kid regrettable immediately	NOT
10181	please stop call loser elite	OFF
10189	user vile rat woman	OFF
10200	absolutely	NOT
10201	dont need talk gun control need talk criminal control	NOT
10203	president trump win lawsuit court overturn gun control law gun right self defense a2firearmsmolonlabegunsk second amendment cco tpj net gun free zone maga constitution url via	NOT
10214	finally administration care legal citizen	NOT
10216	ye correct dont get see either thankful he longer office	NOT
10221	liberal take every major city worth	NOT
10223	poor tiffany best trump sure	NOT
10224	user best fact	NOT
10234	geez hope british labour better australian labor cant see daylight amp conservative neoliberal tee say well see way december url popular istat every turn self interest url	NOT
10238	love bitch	OFF
10253	awesome thankyou give humanity hope	NOT
10256	agree great idea wish could also remove existence maga patriot unite prolife pro israel url	OFF
10258	play inside dont get beat inside agree major mistake glad find question mind	NOT
10265	brazil	NOT
10267	conservative love draft dodger love	NOT
10283	advise iran since guy	NOT
10293	person try tell last year busy bash trump mayor cruz person people life worth try make trump look bad disgrace	OFF
10299	good candy good	NOT
10303	lame outside cage killer cage	OFF
10304	whatever dude want use antifa tactic meet baton riot polouse	NOT
10305	definitely believe credible compare man lie underoath time	NOT
